"REF_DATE","GEO","DGUID","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1973/1974","Newfoundland and Labrador","2016A000210","Men+","Persons","249","units","0","v470785","2.2","6167","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Women+","Persons","249","units","0","v470786","2.3","5795","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Total - gender","Persons","249","units","0","v470787","3.1","1932","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Men+","Persons","249","units","0","v470788","3.2","1019","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Women+","Persons","249","units","0","v470789","3.3","913","","","","0"
"1973/1974","Nova Scotia","2016A000212","Total - gender","Persons","249","units","0","v470790","4.1","12839","","","","0"
"1973/1974","Nova Scotia","2016A000212","Men+","Persons","249","units","0","v470791","4.2","6560","","","","0"
"1973/1974","Nova Scotia","2016A000212","Women+","Persons","249","units","0","v470792","4.3","6279","","","","0"
"1973/1974","New Brunswick","2016A000213","Total - gender","Persons","249","units","0","v470793","5.1","11218","","","","0"
"1973/1974","New Brunswick","2016A000213","Men+","Persons","249","units","0","v470794","5.2","5723","","","","0"
"1973/1974","New Brunswick","2016A000213","Women+","Persons","249","units","0","v470795","5.3","5495","","","","0"
"1973/1974","Quebec","2016A000224","Total - gender","Persons","249","units","0","v470796","6.1","85459","","","","0"
"1973/1974","Quebec","2016A000224","Men+","Persons","249","units","0","v470797","6.2","43774","","","","0"
"1973/1974","Quebec","2016A000224","Women+","Persons","249","units","0","v470798","6.3","41685","","","","0"
"1973/1974","Ontario","2016A000235","Total - gender","Persons","249","units","0","v470799","7.1","122122","","","","0"
"1973/1974","Ontario","2016A000235","Men+","Persons","249","units","0","v470800","7.2","62736","","","","0"
"1973/1974","Ontario","2016A000235","Women+","Persons","249","units","0","v470801","7.3","59386","","","","0"
"1973/1974","Manitoba","2016A000246","Total - gender","Persons","249","units","0","v470802","8.1","17080","","","","0"
"1973/1974","Manitoba","2016A000246","Men+","Persons","249","units","0","v470803","8.2","8846","","","","0"
"1973/1974","Manitoba","2016A000246","Women+","Persons","249","units","0","v470804","8.3","8234","","","","0"
"1973/1974","Saskatchewan","2016A000247","Total - gender","Persons","249","units","0","v470805","9.1","14680","","","","0"
"1973/1974","Saskatchewan","2016A000247","Men+","Persons","249","units","0","v470806","9.2","7508","","","","0"
"1973/1974","Saskatchewan","2016A000247","Women+","Persons","249","units","0","v470807","9.3","7172","","","","0"
"1973/1974","Alberta","2016A000248","Total - gender","Persons","249","units","0","v470766","10.1","29146","","","","0"
"1973/1974","Alberta","2016A000248","Men+","Persons","249","units","0","v470767","10.2","14803","","","","0"
"1973/1974","Alberta","2016A000248","Women+","Persons","249","units","0","v470768","10.3","14343","","","","0"
"1973/1974","British Columbia","2016A000259","Total - gender","Persons","249","units","0","v470769","11.1","34462","","","","0"
"1973/1974","British Columbia","2016A000259","Men+","Persons","249","units","0","v470770","11.2","17716","","","","0"
"1973/1974","British Columbia","2016A000259","Women+","Persons","249","units","0","v470771","11.3","16746","","","","0"
"1973/1974","Yukon","2016A000260","Total - gender","Persons","249","units","0","v470772","12.1","439","","","","0"
"1973/1974","Yukon","2016A000260","Men+","Persons","249","units","0","v470773","12.2","235","","","","0"
"1973/1974","Yukon","2016A000260","Women+","Persons","249","units","0","v470774","12.3","204","","","","0"
"1973/1974","Northwest Territories including Nunavut","","Total - gender","Persons","249","units","0","v470775","13.1","1107","","","t","0"
"1973/1974","Northwest Territories including Nunavut","","Men+","Persons","249","units","0","v470776","13.2","589","","","t","0"
"1973/1974","Northwest Territories including Nunavut","","Women+","Persons","249","units","0","v470777","13.3","518","","","t","0"
"1974/1975","Canada","2016A000011124","Total - gender","Persons","249","units","0","v470763","1.1","355960","","","","0"
"1974/1975","Canada","2016A000011124","Men+","Persons","249","units","0","v470764","1.2","183204","","","","0"
"1974/1975","Canada","2016A000011124","Women+","Persons","249","units","0","v470765","1.3","172756","","","","0"
"1974/1975","Newfoundland and Labrador","2016A000210","Total - gender","Persons","249","units","0","v470784","2.1","11430","","","","0"
"1974/1975","Newfoundland and Labrador","2016A000210","Men+","Persons","249","units","0","v470785","2.2","5973","","","","0"
"1974/1975","Newfoundland and Labrador","2016A000210","Women+","Persons","249","units","0","v470786","2.3","5457","","","","0"
"1974/1975","Prince Edward Island","2016A000211","Total - gender","Persons","249","units","0","v470787","3.1","1944","","","","0"
"1974/1975","Prince Edward Island","2016A000211","Men+","Persons","249","units","0","v470788","3.2","1023","","","","0"
"1974/1975","Prince Edward Island","2016A000211","Women+","Persons","249","units","0","v470789","3.3","921","","","","0"
"1974/1975","Nova Scotia","2016A000212","Total - gender","Persons","249","units","0","v470790","4.1","13093","","","","0"
"1974/1975","Nova Scotia","2016A000212","Men+","Persons","249","units","0","v470791","4.2","6856","","","","0"
"1974/1975","Nova Scotia","2016A000212","Women+","Persons","249","units","0","v470792","4.3","6237","","","","0"
"1974/1975","New Brunswick","2016A000213","Total - gender","Persons","249","units","0","v470793","5.1","11787","","","","0"
"1974/1975","New Brunswick","2016A000213","Men+","Persons","249","units","0","v470794","5.2","5968","","","","0"
"1974/1975","New Brunswick","2016A000213","Women+","Persons","249","units","0","v470795","5.3","5819","","","","0"
"1974/1975","Quebec","2016A000224","Total - gender","Persons","249","units","0","v470796","6.1","89522","","","","0"
"1974/1975","Quebec","2016A000224","Men+","Persons","249","units","0","v470797","6.2","46265","","","","0"
"1974/1975","Quebec","2016A000224","Women+","Persons","249","units","0","v470798","6.3","43257","","","","0"
"1974/1975","Ontario","2016A000235","Total - gender","Persons","249","units","0","v470799","7.1","127258","","","","0"
"1974/1975","Ontario","2016A000235","Men+","Persons","249","units","0","v470800","7.2","65249","","","","0"
"1974/1975","Ontario","2016A000235","Women+","Persons","249","units","0","v470801","7.3","62009","","","","0"
"1974/1975","Manitoba","2016A000246","Total - gender","Persons","249","units","0","v470802","8.1","17330","","","","0"
"1974/1975","Manitoba","2016A000246","Men+","Persons","249","units","0","v470803","8.2","8958","","","","0"
"1974/1975","Manitoba","2016A000246","Women+","Persons","249","units","0","v470804","8.3","8372","","","","0"
"1974/1975","Saskatchewan","2016A000247","Total - gender","Persons","249","units","0","v470805","9.1","15217","","","","0"
"1974/1975","Saskatchewan","2016A000247","Men+","Persons","249","units","0","v470806","9.2","7768","","","","0"
"1974/1975","Saskatchewan","2016A000247","Women+","Persons","249","units","0","v470807","9.3","7449","","","","0"
"1974/1975","Alberta","2016A000248","Total - gender","Persons","249","units","0","v470766","10.1","30582","","","","0"
"1974/1975","Alberta","2016A000248","Men+","Persons","249","units","0","v470767","10.2","15712","","","","0"
"1974/1975","Alberta","2016A000248","Women+","Persons","249","units","0","v470768","10.3","14870","","","","0"
"1974/1975","British Columbia","2016A000259","Total - gender","Persons","249","units","0","v470769","11.1","36241","","","","0"
"1974/1975","British Columbia","2016A000259","Men+","Persons","249","units","0","v470770","11.2","18651","","","","0"
"1974/1975","British Columbia","2016A000259","Women+","Persons","249","units","0","v470771","11.3","17590","","","","0"
"1974/1975","Yukon","2016A000260","Total - gender","Persons","249","units","0","v470772","12.1","468","","","","0"
"1974/1975","Yukon","2016A000260","Men+","Persons","249","units","0","v470773","12.2","232","","","","0"
"1974/1975","Yukon","2016A000260","Women+","Persons","249","units","0","v470774","12.3","236","","","","0"
"1974/1975","Northwest Territories including Nunavut","","Total - gender","Persons","249","units","0","v470775","13.1","1088","","","t","0"
"1974/1975","Northwest Territories including Nunavut","","Men+","Persons","249","units","0","v470776","13.2","549","","","t","0"
"1974/1975","Northwest Territories including Nunavut","","Women+","Persons","249","units","0","v470777","13.3","539","","","t","0"
"1975/1976","Canada","2016A000011124","Total - gender","Persons","249","units","0","v470763","1.1","364278","","","","0"
"1975/1976","Canada","2016A000011124","Men+","Persons","249","units","0","v470764","1.2","187469","","","","0"
"1975/1976","Canada","2016A000011124","Women+","Persons","249","units","0","v470765","1.3","176809","","","","0"
"1975/1976","Newfoundland and Labrador","2016A000210","Total - gender","Persons","249","units","0","v470784","2.1","11030","","","","0"
"1975/1976","Newfoundland and Labrador","2016A000210","Men+","Persons","249","units","0","v470785","2.2","5738","","","","0"
"1975/1976","Newfoundland and Labrador","2016A000210","Women+","Persons","249","units","0","v470786","2.3","5292","","","","0"
"1975/1976","Prince Edward Island","2016A000211","Total - gender","Persons","249","units","0","v470787","3.1","1939","","","","0"
"1975/1976","Prince Edward Island","2016A000211","Men+","Persons","249","units","0","v470788","3.2","1002","","","","0"
"1975/1976","Prince Edward Island","2016A000211","Women+","Persons","249","units","0","v470789","3.3","937","","","","0"
"1975/1976","Nova Scotia","2016A000212","Total - gender","Persons","249","units","0","v470790","4.1","13137","","","","0"
"1975/1976","Nova Scotia","2016A000212","Men+","Persons","249","units","0","v470791","4.2","6837","","","","0"
"1975/1976","Nova Scotia","2016A000212","Women+","Persons","249","units","0","v470792","4.3","6300","","","","0"
"1975/1976","New Brunswick","2016A000213","Total - gender","Persons","249","units","0","v470793","5.1","11847","","","","0"
"1975/1976","New Brunswick","2016A000213","Men+","Persons","249","units","0","v470794","5.2","6060","","","","0"
"1975/1976","New Brunswick","2016A000213","Women+","Persons","249","units","0","v470795","5.3","5787","","","","0"
